day,month,year,aircraftmodel,bureaunumber,characterofflight,flighttimepilot,flighttimecopilot,flighttimestudent,flighttimepassenger,instrumenttime,multiengineday,multienginenight,singleenginenight,length,departingairport,reclat,reclong,arrivalairport,arrivallatitude,arrivallongitude
1,Nov,1948,R5D,50851,N,,4.1,,4,,8.1,,,8.1,Guam,13.57611111,144.9244444,Kwajalein,8.72,167.7316667
1,Nov,1948,R5D,50851,N,,4.5,,4.5,,1.9,7.9,,9,Kwajalein,8.72,167.7316667,Johnson,35.8408,139.394
1,Nov,1948,R5D,50851,N,,3,,1.8,,,4.8,,4.8,Johnson,35.8408,139.394,Honolulu,21.3488,-157.9436
2,Nov,1948,R5D,50851,N,,6,,6.1,,2.1,10,,12.1,Honolulu,21.3488,-157.9436,Moffett,37.415,-122.0483333
3,Nov,1948,R5D,56507,N,,4,,4,,5,,,8,Moffett,37.415,-122.0483333,Kelly,29.382,-98.5785
4,Nov,1948,R5D,56507,N,,2,,2.2,,1.2,,,4.2,Kelly,29.382,-98.5785,Jax,30.2231,-81.6852
7,Nov,1948,R5D,56507,N,,2.5,,2.6,,5.1,,,5.1,Jax,30.2231,-81.6852,Westover,42.1991,-72.5438
8,Nov,1948,R5D,56507,N,,2.9,,2.9,,5.2,,,5.8,Westover,42.1991,-72.5438,Argentia,47.3105,-53.986
9,Nov,1948,R5D,56507,N,,3.7,,3.7,,7.4,,,7.4,Argentia,47.3105,-53.986,Lagens,38.7539,-27.0869
11,Nov,1948,R5D,56507,N,,5.1,,5.2,,10.3,,,10.3,Lagens,38.7539,-27.0869,Marseilles,43.52444444,4.94166667
12,Nov,1948,R5D,56507,N,,,,3.1,,3.1,,,3.1,Marseilles,43.52444444,4.94166667,Kaufbueren,47.8628,10.6156
13,Nov,1948,R5D,56507,N,,,,1.8,,1.8,,,1.8,Kaufbueren,47.8628,10.6156,Rheinmain,50.032,8.5704
13,Nov,1948,R5D,56485,W,,,,2.8,,,,,2.8,Rheinmain,50.032,8.5704,Tempelhof,52.47361111,13.40166667
13,Nov,1948,R5D,56485,W,,,,4.6,,2.1,6,,4.6,Tempelhof,52.47361111,13.40166667,Fassberg,52.9156,10.1904
15,Nov,1948,R5D,56485,W,,,,2,,,,,2,Fassberg,52.9156,10.1904,Rheinmain,50.032,8.5704
18,Nov,1948,R5D,56485,W,,,,,,,,,,,,,,,
